Temps (s),Temp 1 (°C),Temp 2 (°C),Temp 3 (°C)
1.0,26.8,26.62,26.27
2.0,26.8,26.62,26.27
3.0,26.8,26.62,26.27
4.0,26.54,26.62,26.27
5.0,26.18,26.62,26.27
6.0,25.74,26.62,26.27
7.0,25.31,26.62,26.27
8.0,24.96,26.62,26.27
9.0,24.61,26.54,26.27
10.0,24.26,26.45,26.27
11.0,23.91,26.36,26.27
12.0,23.65,26.36,26.18
13.0,23.39,26.27,26.18
14.0,23.13,26.27,26.18
15.0,22.88,26.09,26.18
16.0,22.7,26.01,26.18
17.0,22.53,26.01,26.18
18.0,22.27,25.92,26.18
19.0,22.1,25.83,26.18
20.0,21.93,25.74,26.09
21.0,21.76,25.57,26.09
22.0,21.59,25.48,26.09
23.0,21.5,25.39,26.01
24.0,21.24,25.31,26.01
25.0,21.16,25.22,25.92
26.0,20.99,25.13,25.92
27.0,20.82,25.04,25.83
28.0,20.73,24.96,25.83
29.0,20.56,24.87,25.74
30.0,20.47,24.78,25.74
31.0,20.3,24.69,25.66
32.0,20.22,24.61,25.66
33.0,20.05,24.52,25.57
34.0,19.96,24.43,25.48
35.0,19.88,24.26,25.48
36.0,19.79,24.17,25.39
37.0,19.62,24.17,25.39
38.0,19.53,24.09,25.31
39.0,19.45,23.91,25.22
40.0,19.28,23.83,25.13
41.0,19.19,23.74,25.13
42.0,19.11,23.65,25.04
43.0,19.02,23.65,24.96
44.0,18.94,23.57,24.87
45.0,18.85,23.48,24.87
46.0,18.77,23.39,24.78
47.0,18.68,23.31,24.69
48.0,18.59,23.22,24.61
49.0,18.51,23.13,24.61
50.0,18.51,23.05,24.52
51.0,18.42,23.05,24.43
52.0,18.34,22.88,24.35
53.0,18.25,22.79,24.26
54.0,18.17,22.7,24.26
55.0,18.08,22.62,24.17
56.0,18.08,22.62,24.09
57.0,18.0,22.53,24.0
58.0,17.91,22.45,24.0
59.0,17.91,22.36,23.91
60.0,17.83,22.27,23.83
61.0,17.74,22.27,23.74
62.0,17.74,22.19,23.65
63.0,17.66,22.1,23.65
64.0,17.57,22.02,23.57
65.0,17.57,22.02,23.48
66.0,17.48,21.93,23.39
67.0,17.48,21.84,23.39
68.0,17.4,21.76,23.31
69.0,17.31,21.76,23.22
70.0,17.23,21.67,23.22
71.0,17.14,21.59,23.13
72.0,17.06,21.5,23.05
73.0,16.97,21.5,23.05
74.0,16.89,21.42,22.96
75.0,16.89,21.33,22.88
76.0,16.89,21.33,22.79
77.0,16.8,21.24,22.79
78.0,16.8,21.16,22.7
79.0,16.8,21.07,22.7
80.0,16.72,21.07,22.62
81.0,16.63,20.99,22.53
82.0,16.63,20.9,22.45
83.0,16.54,20.82,22.45
84.0,16.46,20.82,22.36
85.0,16.37,20.82,22.36
86.0,16.29,20.64,22.27
87.0,16.29,20.64,22.19
88.0,16.29,20.56,22.1
89.0,16.2,20.47,22.1
90.0,16.12,20.47,22.02
91.0,16.12,20.39,22.02
92.0,16.03,20.3,21.93
93.0,15.95,20.3,21.84
94.0,15.95,20.22,21.76
95.0,15.95,20.13,21.76
96.0,15.95,20.13,21.67
97.0,15.86,20.05,21.59
98.0,15.86,20.13,21.59
99.0,15.77,19.96,21.5
100.0,15.77,19.96,21.42
101.0,15.69,19.96,21.42
102.0,15.69,19.88,21.33
103.0,15.69,19.79,21.33
104.0,15.6,19.7,21.24
105.0,15.6,19.7,21.24
106.0,15.6,19.62,21.16
107.0,15.52,19.62,21.16
108.0,15.52,19.53,21.07
109.0,15.43,19.45,20.99
110.0,15.43,19.45,20.99
111.0,15.43,19.45,20.9
112.0,15.43,19.36,20.9
113.0,15.35,19.36,20.82
114.0,15.26,19.28,20.82
115.0,15.17,19.19,20.73
116.0,15.09,19.19,20.73
117.0,15.09,19.11,20.64
118.0,15.0,19.11,20.64
119.0,14.92,19.02,20.56
120.0,14.92,19.02,20.56
121.0,14.92,19.02,20.56
122.0,14.83,18.94,20.47
123.0,14.83,18.94,20.47
124.0,14.74,18.85,20.39
125.0,14.74,18.77,20.39
126.0,14.83,18.77,20.3
127.0,14.74,18.77,20.3
128.0,14.74,18.68,20.22
129.0,14.74,18.68,20.22
130.0,14.74,18.68,20.13
131.0,14.74,18.59,20.13
132.0,14.74,18.59,20.05
133.0,14.74,18.59,20.05
134.0,14.74,18.51,19.96
135.0,14.66,18.51,19.96
136.0,14.57,18.42,19.88
137.0,14.49,18.42,19.88
138.0,14.49,18.34,19.88
139.0,14.4,18.34,19.79
140.0,14.4,18.25,19.79
141.0,14.31,18.25,19.79
142.0,14.31,18.25,19.7
143.0,14.23,18.25,19.62
144.0,14.14,18.17,19.62
145.0,14.14,18.17,19.62
146.0,14.14,18.08,19.53
147.0,14.14,18.08,19.53
148.0,14.05,18.0,19.45
149.0,14.05,17.91,19.45
150.0,13.97,17.91,19.45
151.0,13.97,17.91,19.36
152.0,13.97,17.91,19.36
153.0,14.05,17.83,19.28
154.0,14.05,17.83,19.28
155.0,14.05,17.74,19.19
156.0,14.05,17.74,19.19
157.0,14.05,17.74,19.19
158.0,14.05,17.66,19.11
159.0,13.97,17.66,19.19
160.0,13.97,17.66,19.11
161.0,13.88,17.57,19.11
162.0,13.97,17.57,19.02
163.0,13.97,17.57,19.02
164.0,13.97,17.57,18.94
165.0,13.88,17.57,18.94
166.0,13.88,17.48,18.94
167.0,13.8,17.48,18.94
168.0,13.71,17.48,18.94
169.0,13.71,17.4,18.85
170.0,13.62,17.4,18.85
171.0,13.62,17.4,18.85
172.0,13.54,17.31,18.77
173.0,13.54,17.31,18.77
174.0,13.54,17.31,18.68
175.0,13.45,17.23,18.68
176.0,13.45,17.23,18.68
177.0,13.45,17.23,18.59
178.0,13.45,17.23,18.68
179.0,13.28,17.14,18.59
180.0,13.36,17.14,18.51
181.0,13.28,17.14,18.51
182.0,13.28,17.14,18.51
183.0,13.19,17.06,18.42
184.0,13.19,17.06,18.42
185.0,13.19,16.97,18.42
186.0,13.19,16.97,18.42
187.0,13.1,16.97,18.34
188.0,13.1,16.97,18.34
189.0,13.1,16.89,18.34
190.0,13.1,16.89,18.25
191.0,13.02,16.89,18.25
192.0,13.02,16.89,18.25
193.0,12.93,16.8,18.17
194.0,13.02,16.8,18.17
195.0,12.93,16.72,18.17
196.0,12.93,16.72,18.17
197.0,12.93,16.72,18.08
198.0,12.93,16.72,18.08
199.0,12.93,16.63,18.08
200.0,12.93,16.63,18.08
201.0,12.93,16.63,18.0
202.0,12.84,16.63,18.0
203.0,12.84,16.63,18.0
204.0,12.75,16.54,17.91
205.0,12.84,16.63,17.91
206.0,12.84,16.54,17.91
207.0,12.75,16.54,17.91
208.0,12.75,16.46,17.83
209.0,12.75,16.46,17.83
210.0,12.75,16.46,17.83
211.0,12.75,16.46,17.83
212.0,12.75,16.37,17.74
213.0,12.84,16.37,17.74
214.0,12.84,16.37,17.74
215.0,12.84,16.37,17.74
216.0,12.84,16.37,17.74
217.0,12.84,16.37,17.66
218.0,12.75,16.37,17.66
219.0,12.75,16.29,17.66
220.0,12.84,16.29,17.66
221.0,12.84,16.29,17.66
222.0,12.93,16.29,17.66
223.0,12.93,16.29,17.66
224.0,12.93,16.29,17.74
225.0,12.93,16.2,17.74
226.0,12.84,16.2,17.66
227.0,12.84,16.2,17.66
228.0,12.84,16.2,17.66
229.0,12.93,16.2,17.57
230.0,12.93,16.2,17.66
231.0,12.93,16.2,17.57
232.0,12.84,16.29,17.57
233.0,12.84,16.2,17.48
234.0,12.93,16.29,17.48
235.0,12.84,16.2,17.48
236.0,12.75,16.12,17.48
237.0,12.75,16.12,17.48
238.0,12.75,16.12,17.48
239.0,12.75,16.12,17.48
240.0,12.75,16.12,17.4
241.0,12.84,16.12,17.4
242.0,12.67,16.12,17.4
243.0,12.67,16.03,17.4
244.0,12.67,16.03,17.31
245.0,12.67,16.03,17.31
246.0,12.67,16.03,17.31
247.0,12.67,16.03,17.31
248.0,12.67,16.03,17.31
249.0,12.67,16.03,17.31
250.0,12.67,16.03,17.31
251.0,12.58,15.95,17.31
252.0,12.58,15.95,17.23
253.0,12.49,15.95,17.23
254.0,12.49,15.95,17.23
255.0,12.58,15.95,17.23
256.0,12.67,15.95,17.23
257.0,12.67,15.95,17.23
258.0,12.67,15.95,17.14
259.0,12.67,15.95,17.23
260.0,12.67,15.86,17.14
261.0,12.67,15.95,17.14
262.0,12.67,15.95,17.14
263.0,12.58,15.95,17.14
264.0,12.58,15.86,17.14
265.0,12.67,15.86,17.14
266.0,12.58,15.86,17.14
267.0,12.58,15.86,17.14
268.0,12.58,15.86,17.14
269.0,12.58,15.86,17.06
270.0,12.58,15.77,17.06
271.0,12.49,15.77,17.06
272.0,12.49,15.77,17.06
273.0,12.41,15.77,17.06
274.0,12.49,15.77,17.06
275.0,12.49,15.77,17.06
276.0,12.49,15.69,17.06
277.0,12.58,15.77,17.06
278.0,12.49,15.77,16.97
279.0,12.49,15.77,16.97
280.0,12.41,15.77,16.97
281.0,12.32,15.69,16.97
282.0,12.32,15.69,16.97
283.0,12.32,15.69,16.97
284.0,12.32,15.69,16.89
285.0,12.32,15.69,16.89
286.0,12.32,15.69,16.89
287.0,12.32,15.6,16.89
288.0,12.41,15.69,16.89
289.0,12.49,15.69,16.89
290.0,12.49,15.69,16.89
291.0,12.41,15.6,16.89
292.0,12.49,15.6,16.89
293.0,12.58,15.6,16.89
294.0,12.58,15.69,16.89
295.0,12.49,15.69,16.8
296.0,12.49,15.6,16.8
297.0,12.49,15.6,16.8
298.0,12.49,15.6,16.8
299.0,12.41,15.69,16.72
300.0,12.49,15.6,16.8
301.0,12.49,15.69,16.72
302.0,12.41,15.6,16.8
303.0,12.41,15.6,16.72
304.0,12.49,15.6,16.72
305.0,12.41,15.6,16.72
306.0,12.41,15.52,16.8
307.0,12.41,15.52,16.72
308.0,12.49,15.6,16.72
309.0,12.41,15.52,16.72
310.0,12.41,15.52,16.72
311.0,12.41,15.52,16.72
312.0,12.41,15.6,16.72
313.0,12.41,15.52,16.72
314.0,12.32,15.52,16.72
315.0,12.41,15.52,16.72
316.0,12.41,15.52,16.63
317.0,12.41,15.52,16.63
318.0,12.49,15.6,16.63
319.0,12.41,15.52,16.63
320.0,12.41,15.52,16.63
321.0,12.41,15.52,16.63
322.0,12.41,15.52,16.63
323.0,12.41,15.52,16.63
324.0,12.32,15.43,16.63
325.0,12.32,15.43,16.63
326.0,12.23,15.43,16.63
327.0,12.23,15.43,16.54
328.0,12.23,15.43,16.63
329.0,12.32,15.43,16.63
330.0,12.41,15.52,16.54
331.0,12.41,15.52,16.54
332.0,12.41,15.43,16.54
333.0,12.32,15.43,16.54
334.0,12.23,15.43,16.54
335.0,12.14,15.43,16.54
336.0,12.14,15.35,16.54
337.0,12.06,15.35,16.54
338.0,12.06,15.35,16.54
339.0,12.06,15.35,16.46
340.0,11.97,15.35,16.54
341.0,11.97,15.26,16.46
342.0,11.88,15.26,16.46
343.0,11.88,15.26,16.46
344.0,11.88,15.26,16.46
345.0,11.88,15.26,16.46
346.0,11.79,15.26,16.54
347.0,11.88,15.26,16.46
348.0,11.79,15.26,16.46
349.0,11.79,15.26,16.54
350.0,11.79,15.26,16.54
351.0,11.79,15.17,16.54
352.0,11.71,15.26,16.54
353.0,11.71,15.17,16.54
354.0,11.79,15.17,16.54
355.0,11.79,15.17,16.54
356.0,11.79,15.17,16.54
357.0,11.79,15.17,16.54
358.0,11.79,15.17,16.54
359.0,11.71,15.17,16.46
360.0,11.71,15.17,16.54
361.0,11.71,15.17,16.46
362.0,11.71,15.17,16.46
363.0,11.71,15.09,16.46
364.0,11.62,15.09,16.54
365.0,11.62,15.09,16.46
366.0,11.62,15.09,16.46
367.0,11.62,15.09,16.46
368.0,11.62,15.09,16.37
369.0,11.71,15.09,16.37
370.0,11.71,15.09,16.37
371.0,11.79,15.09,16.37
372.0,11.97,15.09,16.37
373.0,11.97,15.09,16.37
374.0,11.97,15.17,16.29
375.0,11.97,15.17,16.37
376.0,12.06,15.17,16.29
377.0,12.06,15.17,16.29
378.0,12.06,15.17,16.29
379.0,12.14,15.17,16.29
380.0,12.06,15.09,16.29
381.0,12.06,15.09,16.29
382.0,12.06,15.09,16.29
383.0,11.97,15.0,16.29
384.0,11.88,15.0,16.2
385.0,11.97,15.09,16.2
386.0,11.88,15.0,16.2
387.0,11.88,15.0,16.2
388.0,11.88,15.0,16.2
389.0,11.79,15.0,16.2
390.0,11.79,15.0,16.2
391.0,11.79,15.0,16.2
392.0,11.88,15.0,16.2
393.0,11.79,15.0,16.2
394.0,11.79,15.0,16.2
395.0,11.71,14.92,16.2
396.0,11.79,15.0,16.2
397.0,11.79,15.0,16.29
398.0,11.97,15.0,16.29
399.0,11.97,15.0,16.29
400.0,11.97,15.0,16.2
401.0,11.88,15.0,16.2
402.0,11.88,15.0,16.2
403.0,11.88,15.0,16.2
404.0,11.88,15.0,16.2
405.0,11.88,15.0,16.2
406.0,11.88,15.0,16.2
407.0,11.88,15.0,16.2
408.0,11.88,15.0,16.2
409.0,11.88,15.0,16.2
410.0,11.88,15.0,16.2
411.0,11.79,15.09,16.2
412.0,11.88,15.09,16.2
413.0,11.88,15.09,16.2
414.0,11.88,15.0,16.2
415.0,11.79,15.0,16.2
416.0,11.79,15.0,16.2
417.0,11.79,15.0,16.2
418.0,11.88,15.0,16.2
419.0,11.88,15.0,16.2
420.0,11.88,15.0,16.2
421.0,11.88,15.0,16.2
422.0,11.88,14.92,16.2
423.0,11.97,15.0,16.2
424.0,11.79,14.92,16.12
425.0,11.79,14.92,16.12
426.0,11.88,15.0,16.12
427.0,11.79,14.92,16.12
428.0,11.79,14.92,16.12
429.0,11.79,14.92,16.12
430.0,11.79,14.92,16.12
431.0,11.79,14.92,16.12
432.0,11.71,14.92,16.03
433.0,11.71,14.83,16.03
434.0,11.71,14.92,16.03
435.0,11.71,14.83,16.12
436.0,11.79,14.92,16.03
437.0,11.88,14.92,16.12
438.0,11.88,14.92,16.12
439.0,11.88,14.92,16.2
440.0,11.88,14.92,16.2
441.0,11.88,15.0,16.2
442.0,12.06,14.92,16.29
443.0,12.32,14.92,16.2
444.0,12.75,14.92,16.2
445.0,13.1,14.92,16.2
446.0,13.45,15.0,16.2
447.0,13.8,15.0,16.2
448.0,14.05,15.0,16.2
449.0,14.4,15.09,16.2
450.0,14.66,15.09,16.2
451.0,15.0,15.17,16.2
452.0,15.26,15.26,16.2
453.0,15.43,15.35,16.12
454.0,15.69,15.43,16.2
455.0,15.95,15.52,16.2
456.0,16.12,15.52,16.2
457.0,16.29,15.6,16.2
458.0,16.54,15.69,16.2
459.0,16.63,15.77,16.2
460.0,16.8,15.86,16.2
461.0,16.97,15.95,16.29
462.0,17.14,16.2,16.29
463.0,17.31,16.2,16.29
464.0,17.4,16.29,16.37
465.0,17.57,16.37,16.37
466.0,17.66,16.46,16.46
467.0,17.83,16.54,16.46
468.0,17.91,16.63,16.54
469.0,18.0,16.72,16.54
470.0,18.17,16.8,16.54
471.0,18.25,16.89,16.63
472.0,18.34,16.89,16.63
473.0,18.42,16.97,16.72
474.0,18.51,17.06,16.72
475.0,18.68,17.14,16.8
476.0,18.77,17.23,16.8
477.0,18.85,17.31,16.89
478.0,18.94,17.4,16.97
479.0,19.02,17.48,16.97
480.0,19.02,17.57,17.06
481.0,19.11,17.57,17.14
482.0,19.19,17.66,17.14
483.0,19.28,17.74,17.23
484.0,19.36,17.83,17.31
485.0,19.45,17.83,17.31
