Temps (s),Temp 1 (°C),Temp 2 (°C),Temp 3 (°C)
1.0,25.66,25.74,25.57
2.0,25.66,25.74,25.57
3.0,25.66,25.74,25.57
4.0,25.74,25.74,25.57
5.0,26.27,25.74,25.57
6.0,26.8,25.83,25.57
7.0,27.42,25.74,25.57
8.0,27.96,25.74,25.57
9.0,28.58,25.83,25.57
10.0,29.03,25.83,25.57
11.0,29.49,25.92,25.57
12.0,29.85,26.01,25.57
13.0,30.31,26.09,25.57
14.0,30.67,26.18,25.66
15.0,31.04,26.27,25.57
16.0,31.41,26.36,25.57
17.0,31.69,26.54,25.57
18.0,32.07,26.62,25.57
19.0,32.35,26.71,25.66
20.0,32.63,26.8,25.66
21.0,32.82,26.98,25.66
22.0,33.1,27.07,25.74
23.0,33.39,27.24,25.74
24.0,33.68,27.42,25.83
25.0,33.87,27.51,25.83
26.0,34.06,27.69,25.83
27.0,34.35,27.78,25.92
28.0,34.54,27.96,26.01
29.0,34.74,28.05,26.01
30.0,34.93,28.22,26.09
31.0,35.13,28.31,26.18
32.0,35.23,28.49,26.18
33.0,35.52,28.58,26.27
34.0,35.62,28.67,26.36
35.0,35.82,28.85,26.45
36.0,35.92,28.94,26.54
37.0,36.21,29.12,26.62
38.0,36.31,29.21,26.62
39.0,36.41,29.4,26.71
40.0,36.61,29.49,26.8
41.0,36.81,29.58,26.89
42.0,36.91,29.67,26.98
43.0,37.01,29.85,27.07
44.0,37.12,29.94,27.15
45.0,37.32,30.12,27.33
46.0,37.42,30.22,27.33
47.0,37.62,30.31,27.42
48.0,37.83,30.4,27.51
49.0,37.83,30.58,27.6
50.0,37.93,30.67,27.69
51.0,38.14,30.77,27.87
52.0,38.24,30.86,27.96
53.0,38.34,31.04,28.05
54.0,38.44,31.14,28.13
55.0,38.65,31.23,28.22
56.0,38.76,31.41,28.22
57.0,38.86,31.51,28.31
58.0,39.17,31.6,28.49
59.0,39.17,31.79,28.58
60.0,39.28,31.79,28.67
61.0,39.38,31.97,28.76
62.0,39.38,32.07,28.85
63.0,39.49,32.16,28.94
64.0,39.7,32.25,29.03
65.0,39.81,32.44,29.12
66.0,39.91,32.54,29.21
67.0,40.02,32.63,29.31
68.0,40.12,32.73,29.4
69.0,40.23,32.82,29.58
70.0,40.23,32.91,29.58
71.0,40.34,33.01,29.76
72.0,40.45,33.1,29.85
73.0,40.66,33.2,29.94
74.0,40.77,33.29,30.03
75.0,40.88,33.39,30.03
76.0,40.99,33.48,30.22
77.0,41.09,33.58,30.31
78.0,41.2,33.68,30.4
79.0,41.2,33.87,30.49
80.0,41.2,33.87,30.58
81.0,41.31,34.06,30.67
82.0,41.31,34.16,30.77
83.0,41.42,34.16,30.86
84.0,41.53,34.25,30.95
85.0,41.64,34.35,31.04
86.0,41.75,34.45,31.14
87.0,41.75,34.54,31.23
88.0,41.86,34.54,31.32
89.0,41.97,34.64,31.41
90.0,42.08,34.74,31.41
91.0,42.08,34.83,31.51
92.0,42.3,34.93,31.6
93.0,42.3,35.03,31.69
94.0,42.3,35.13,31.79
95.0,42.42,35.13,31.88
96.0,42.53,35.23,31.97
97.0,42.53,35.32,32.07
98.0,42.64,35.42,32.16
99.0,42.75,35.52,32.35
100.0,42.75,35.62,32.35
101.0,42.86,35.72,32.44
102.0,42.98,35.72,32.54
103.0,42.98,35.82,32.63
104.0,43.09,35.92,32.63
105.0,42.98,36.01,32.73
106.0,43.2,36.01,32.82
107.0,43.2,36.11,32.82
108.0,43.32,36.21,32.91
109.0,43.32,36.31,33.01
110.0,43.43,36.31,33.01
111.0,43.55,36.41,33.1
112.0,43.66,36.51,33.1
113.0,43.66,36.61,33.2
114.0,43.66,36.61,33.29
115.0,43.77,36.71,33.48
116.0,43.77,36.71,33.48
117.0,43.77,36.81,33.58
118.0,43.89,36.91,33.58
119.0,44.12,37.01,33.68
120.0,44.12,37.01,33.68
121.0,44.35,37.12,33.77
122.0,44.47,37.12,33.77
123.0,44.47,37.22,33.87
124.0,44.59,37.32,33.96
125.0,44.7,37.32,33.96
126.0,44.7,37.42,34.06
127.0,44.94,37.42,34.06
128.0,44.7,37.52,34.25
129.0,44.7,37.52,34.25
130.0,44.82,37.73,34.35
131.0,44.94,37.73,34.35
132.0,45.06,37.73,34.45
133.0,45.29,37.83,34.45
134.0,45.17,37.93,34.54
135.0,45.29,38.03,34.64
136.0,45.29,38.03,34.74
137.0,45.29,38.14,34.83
138.0,45.29,38.24,34.83
139.0,45.29,38.24,34.93
140.0,45.29,38.34,34.93
141.0,45.41,38.34,35.03
142.0,45.41,38.44,35.13
143.0,45.53,38.44,35.13
144.0,45.53,38.55,35.23
145.0,45.41,38.65,35.32
146.0,45.41,38.76,35.42
147.0,45.65,38.76,35.52
148.0,45.65,38.76,35.52
149.0,45.53,38.86,35.62
150.0,45.65,38.96,35.52
151.0,45.77,38.96,35.62
152.0,45.89,39.07,35.72
153.0,45.89,39.17,35.72
154.0,45.89,39.28,35.82
155.0,46.01,39.28,35.92
156.0,46.01,39.38,36.01
157.0,46.13,39.38,36.01
158.0,46.13,39.38,36.11
159.0,46.13,39.49,36.21
160.0,46.25,39.49,36.21
161.0,46.25,39.59,36.31
162.0,46.25,39.59,36.41
163.0,46.37,39.7,36.41
164.0,46.37,39.7,36.51
165.0,46.49,39.7,36.51
166.0,46.49,39.81,36.61
167.0,46.49,39.91,36.61
168.0,46.62,39.91,36.71
169.0,46.62,40.02,36.71
170.0,46.86,40.02,36.81
171.0,46.74,40.02,36.81
172.0,46.86,40.12,36.91
173.0,46.86,40.12,36.91
174.0,46.99,40.12,37.01
175.0,46.99,40.34,37.01
176.0,47.11,40.23,37.01
177.0,46.99,40.34,37.22
178.0,46.99,40.34,37.22
179.0,46.86,40.34,37.22
180.0,46.99,40.34,37.32
181.0,46.99,40.45,37.32
182.0,47.11,40.45,37.32
183.0,47.23,40.45,37.42
184.0,47.23,40.45,37.42
185.0,47.11,40.55,37.42
186.0,47.23,40.55,37.42
187.0,47.36,40.66,37.42
188.0,47.48,40.77,37.52
189.0,47.61,40.88,37.62
190.0,47.61,40.88,37.52
191.0,47.48,40.88,37.62
192.0,47.61,40.99,37.62
193.0,47.61,41.09,37.62
194.0,47.73,40.99,37.73
195.0,47.61,41.09,37.62
196.0,47.61,41.09,37.62
197.0,47.73,41.2,37.73
198.0,47.73,41.2,37.73
199.0,47.73,41.31,37.93
200.0,47.86,41.2,38.03
201.0,47.73,41.31,38.03
202.0,47.86,41.31,38.03
203.0,47.86,41.42,38.03
204.0,47.86,41.42,38.14
205.0,47.98,41.53,38.34
206.0,48.11,41.42,38.24
207.0,48.24,41.53,38.24
208.0,48.36,41.53,38.24
209.0,48.36,41.53,38.44
210.0,48.36,41.64,38.34
211.0,48.36,41.75,38.34
212.0,48.36,41.75,38.34
213.0,48.49,41.86,38.34
214.0,48.49,41.86,38.44
215.0,48.49,41.97,38.55
216.0,48.49,41.97,38.55
217.0,48.62,41.97,38.55
218.0,48.49,42.08,38.65
219.0,48.62,42.08,38.65
220.0,48.49,42.19,38.65
221.0,48.49,42.08,38.76
222.0,48.75,42.19,38.76
223.0,48.75,42.19,38.86
224.0,48.88,42.19,38.86
225.0,48.88,42.19,38.86
226.0,48.88,42.19,38.96
227.0,49.0,42.19,39.07
228.0,49.0,42.3,39.07
229.0,49.0,42.42,39.07
230.0,49.13,42.3,39.07
231.0,48.88,42.42,39.17
232.0,49.0,42.42,39.17
233.0,49.0,42.42,39.17
234.0,49.0,42.53,39.28
235.0,49.0,42.53,39.17
236.0,48.88,42.64,39.28
237.0,49.0,42.64,39.17
238.0,49.13,42.75,39.28
239.0,49.26,42.75,39.28
240.0,49.39,42.86,39.28
241.0,49.39,42.86,39.28
242.0,49.39,42.98,39.38
243.0,49.39,42.98,39.28
244.0,49.39,42.98,39.49
245.0,49.52,42.98,39.38
246.0,49.39,42.98,39.49
247.0,49.39,42.98,39.49
248.0,49.39,42.98,39.49
249.0,49.39,42.98,39.59
250.0,49.26,42.98,39.7
251.0,49.39,42.98,39.7
252.0,49.39,42.98,39.7
253.0,49.39,42.98,39.7
254.0,49.52,43.09,39.81
255.0,49.39,42.98,39.81
256.0,49.52,43.09,39.81
257.0,49.52,43.2,39.81
258.0,49.52,43.09,39.91
259.0,49.52,43.09,39.91
260.0,49.52,43.2,40.02
261.0,49.52,43.2,39.91
262.0,49.52,43.32,39.91
263.0,49.66,43.32,39.91
264.0,49.79,43.32,40.02
265.0,49.66,43.32,40.02
266.0,49.66,43.32,40.02
267.0,49.66,43.43,40.02
