Temps (s),Temp 1 (C),Temp 2 (C),Temp 3 (C),Sortie PID
3.08,16.58,21.48,22.67,4095.0
6.08,17.18,21.29,22.73,762.89
9.08,18.96,21.11,22.52,4095.0
12.08,20.8,21.06,22.44,2907.28
15.08,22.23,21.06,22.26,3674.67
18.08,23.38,21.32,22.18,3347.93
21.08,24.27,21.53,22.1,3540.19
24.08,25.14,21.81,22.02,3524.19
27.08,25.81,22.15,22.1,3441.1
30.08,26.45,22.39,22.18,3502.22
33.08,27.03,22.78,22.26,3504.77
36.08,27.49,23.04,22.39,3480.08
39.08,28.01,23.41,22.44,3580.5
42.08,28.39,23.67,22.67,3394.6
45.08,28.79,23.9,22.8,3561.0
48.08,29.12,24.27,23.09,3354.58
51.08,29.4,24.51,23.25,3540.94
54.08,29.81,24.83,23.41,3470.07
57.08,30.03,25.06,23.69,3374.82
60.08,30.45,25.3,23.82,3538.68
63.08,30.75,25.59,24.14,3301.06
66.08,31.01,25.78,24.35,3463.17
69.08,31.31,26.1,24.56,3384.19
72.08,31.48,26.31,24.8,3375.37
75.08,31.76,26.53,24.98,3407.89
78.08,31.99,26.79,25.27,3280.45
81.08,32.13,26.95,25.46,3397.81
84.08,32.3,27.25,25.7,3284.54
87.08,32.39,27.38,25.94,3302.46
90.08,32.67,27.65,26.07,3369.38
93.08,32.9,27.87,26.31,3232.42
96.08,33.11,27.98,26.47,3333.8
99.08,33.25,28.25,26.74,3174.46
102.08,33.34,28.36,26.9,3302.65
105.08,33.6,28.63,27.06,3233.68
108.08,33.71,28.77,27.3,3164.9
111.08,33.83,28.93,27.44,3259.55
114.08,33.94,29.15,27.65,3128.32
117.08,34.12,29.26,27.79,3226.0
120.08,34.38,29.48,27.95,3143.66
123.08,34.41,29.62,28.17,3100.57
126.08,34.74,29.78,28.22,3238.92
129.08,34.82,30.0,28.49,2970.92
132.08,34.88,30.06,28.63,3159.98
135.08,35.06,30.31,28.82,3009.24
138.08,35.09,30.39,28.93,3114.48
141.08,35.33,30.53,29.04,3054.5
144.08,35.39,30.7,29.26,2954.11
147.08,35.54,30.7,29.34,3083.99
150.08,35.6,30.95,29.56,2884.49
153.08,35.63,31.03,29.62,3079.47
156.08,35.96,31.23,29.7,2964.61
159.08,35.96,31.34,29.92,2860.87
162.08,36.11,31.37,29.98,3015.83
165.08,36.29,31.51,30.14,2834.4
168.08,36.26,31.57,30.17,3004.82
171.08,36.32,31.74,30.2,2929.33
174.08,36.38,31.82,30.36,2818.17
177.08,36.53,31.93,30.39,2959.35
180.08,36.56,32.05,30.61,2705.72
183.08,36.74,32.08,30.67,2917.89
186.08,37.02,32.3,30.81,2735.63
189.08,37.11,32.33,30.95,2774.11
192.08,37.17,32.5,30.95,2858.51
195.08,37.17,32.59,31.15,2629.38
198.08,37.23,32.59,31.17,2835.52
201.08,37.32,32.76,31.34,2604.0
204.08,37.29,32.79,31.4,2761.95
207.08,37.41,32.88,31.43,2705.63
210.08,37.45,32.9,31.57,2605.07
213.08,37.66,32.93,31.57,2742.73
216.08,37.66,33.11,31.74,2514.55
219.08,37.69,33.13,31.82,2641.94
222.08,37.79,33.34,31.93,2534.65
225.08,37.72,33.34,31.99,2597.29
228.08,37.88,33.36,32.02,2576.09
231.08,37.82,33.45,32.19,2429.67
234.08,37.88,33.42,32.13,2659.49
237.08,38.03,33.62,32.25,2402.16
240.08,37.97,33.65,32.33,2495.97
243.08,38.19,33.74,32.33,2509.36
246.08,38.25,33.77,32.5,2325.21
249.08,38.38,33.8,32.53,2486.32
252.08,38.41,33.94,32.62,2345.77
255.08,38.38,33.89,32.65,2424.43
258.08,38.47,34.0,32.67,2371.67
261.08,38.6,34.03,32.85,2233.02
264.08,38.66,34.06,32.85,2402.12
267.08,38.72,34.15,32.93,2234.7
270.08,38.66,34.15,32.93,2350.35
273.08,38.66,34.32,32.99,2231.7
276.08,38.69,34.29,33.08,2222.32
279.08,38.85,34.32,33.02,2329.4
282.08,38.91,34.41,33.16,2086.71
285.08,38.94,34.41,33.22,2219.05
288.08,38.97,34.56,33.31,2107.28
291.08,38.94,34.65,33.36,2142.85
294.08,39.07,34.68,33.39,2125.08
297.08,39.16,34.68,33.51,2022.88
300.08,39.32,34.62,33.51,2131.31
303.08,39.36,34.76,33.6,1983.8
306.08,39.23,34.79,33.6,2088.3
309.08,39.42,34.94,33.6,2026.01
312.08,39.42,34.97,33.74,1890.4
315.08,39.58,34.97,33.68,2089.27
318.08,39.58,35.09,33.83,1804.22
321.08,39.58,35.06,33.86,1978.5
324.08,39.52,35.18,33.86,1908.56
327.08,39.42,35.15,33.89,1886.78
330.08,39.55,35.15,33.89,1895.57
333.08,39.52,35.24,33.97,1785.57
336.08,39.64,35.18,34.06,1788.51
339.08,39.74,35.3,34.12,1773.81
342.08,39.61,35.27,34.06,1856.95
345.08,39.74,35.36,34.0,1813.17
348.08,39.71,35.42,34.12,1651.36
351.08,39.77,35.36,34.12,1781.09
354.08,39.84,35.45,34.21,1620.81
357.08,39.74,35.48,34.24,1699.3
360.08,39.8,35.54,34.24,1665.87
363.08,39.68,35.54,34.32,1570.44
366.08,39.93,35.54,34.27,1707.26
369.08,39.9,35.57,34.32,1527.45
372.08,39.8,35.54,34.35,1591.13
375.08,39.96,35.63,34.35,1563.05
378.08,39.93,35.63,34.47,1436.24
381.08,40.16,35.66,34.41,1607.22
384.08,40.09,35.72,34.59,1298.81
387.08,40.0,35.69,34.47,1643.45
390.08,40.06,35.81,34.56,1305.85
393.08,39.93,35.78,34.56,1482.32
396.08,40.03,35.81,34.5,1442.53
399.08,39.93,35.87,34.62,1275.14
402.08,39.96,35.78,34.59,1433.47
405.08,40.06,35.84,34.65,1264.81
408.08,40.09,35.84,34.65,1350.79
411.08,40.29,35.93,34.65,1290.02
414.08,40.32,35.99,34.79,1145.66
417.08,40.55,35.93,34.71,1373.24
420.08,40.55,36.08,34.76,1131.56
423.08,40.45,35.96,34.79,1217.78
426.08,40.55,36.05,34.76,1206.83
429.08,40.52,36.02,34.79,1133.65
432.08,40.65,35.99,34.76,1186.83
435.08,40.61,36.08,34.88,1002.11
438.08,40.68,36.08,34.82,1194.97
441.08,40.58,36.14,34.88,988.57
444.08,40.42,36.14,34.94,1031.33
447.08,40.48,36.08,34.76,1202.33
450.08,40.35,36.14,34.88,859.03
453.08,40.39,36.08,34.79,1144.26
456.08,40.39,36.14,34.88,850.08
459.08,40.29,36.11,34.91,979.0
462.08,40.42,36.23,34.85,978.89
465.08,40.32,36.14,34.94,821.33
468.08,40.52,36.08,34.88,980.84
471.08,40.42,36.26,35.03,701.52
474.08,40.39,36.14,35.03,896.85
477.08,40.55,36.23,35.06,761.24
480.08,40.55,36.23,35.18,694.78
483.08,40.74,36.26,35.12,839.08
